Type,"IBM Product",VRM,PID,"Licence Type",MTM,GA,"GA #",EOM,"EOM #",EOD,"EOD #",EOS,"EOS #","End All Support","Eligible service","Lifecycle Policy",Exception,Comments,"More Info URL","Last modified"
HW,"IBM FlashSystem 5010 LFF Control Enclosure (2072-U12)",N/A,N/A,,2072U12,2020-03-06,120-010,2021-02-09,921-036,N/A,N/A,,,,,W,0,,,03-08-2024
HW,"IBM FlashSystem 5010 SFF Control Enclosure (2072-U24)",N/A,N/A,,2072U24,2020-03-06,120-010,2021-02-09,921-036,N/A,N/A,,,,,W,0,,,03-11-2024
HW,"IBM FlashSystem 5030 LFF Control Enclosure (2072-V12)",N/A,N/A,,2072V12,2020-03-06,120-010,2021-02-09,921-036,N/A,N/A,,,,,W,0,,,03-11-2024
HW,"IBM FlashSystem 5030 SFF Control Enclosure (2072-V24)",N/A,N/A,,2072V24,2020-03-06,120-010,2021-04-10,921-036,N/A,N/A,,,,,W,0,,,03-08-2024
HW,"IBM FlashSystem 7000 LFF Expansion Enclosure (2076-12G)",N/A,N/A,,207612G,2020-03-06,75471,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM FlashSystem 7000 SFF Expansion Enclosure (2076-24G)",N/A,N/A,,207624G,2020-03-06,75471,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM FlashSystem 7200 NVMe Control Enclosure (2076-824)",N/A,N/A,,2076824,2020-03-06,75471,2022-04-12,77495,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM FlashSystem 7000 High Density LFF Expansion Enclosure (2076-92G)",N/A,N/A,,207692G,2020-03-06,75471,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM FlashSystem 7200 Utility NVMe Control Enclosure (2076-U7C)",N/A,N/A,,2076U7C,2020-03-06,75471,2022-04-12,77495,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM FlashSystem 5100 LFF Expansion Enclosure (2077-12G)",N/A,N/A,,207712G,2020-03-06,120-009,2022-04-12,922-043,N/A,N/A,,,,,W,0,,,03-11-2024
HW,"IBM FlashSystem 5100 SFF Expansion Enclosure (2077-24G)",N/A,N/A,,207724G,2020-03-06,120-009,2022-07-16,922-043,N/A,N/A,,,,,W,0,,,03-11-2024
HW,"IBM FlashSystem 5100 NVMe Control Enclosure (2077-4H4)",N/A,N/A,,20774H4,2020-03-06,120-009,2021-04-13,921-038,N/A,N/A,,,,,W,0,,,03-11-2024
HW,"IBM FlashSystem 5100 High Density Expansion (2077-92G)",N/A,N/A,,207792G,2020-03-06,120-009,2022-07-16,922-043,N/A,N/A,,,,,W,0,,,03-11-2024
HW,"IBM FlashSystem 5100 LFF Expansion Enclosure (2078-12G)",N/A,N/A,,207812G,2020-03-06,120-009,2022-04-12,922-043,N/A,N/A,,,,,W,0,,,03-11-2024
HW,"IBM FlashSystem 5100 SFF Expansion Enclosure (2078-24G)",N/A,N/A,,207824G,2020-03-06,120-009,2022-07-16,922-043,N/A,N/A,,,,,W,0,,,03-11-2024
HW,"IBM FlashSystem 5100 NVMe Control Enclosure (2078-4H4)",N/A,N/A,,20784H4,2020-03-06,120-009,2021-10-09,921-038,N/A,N/A,,,,,W,0,,,03-11-2024
HW,"IBM FlashSystem 5100 High Density Expansion Enclosure (2078-92G)",N/A,N/A,,207892G,2020-03-06,120-009,2022-04-12,922-043,N/A,N/A,,,,,W,0,,,03-11-2024
HW,"IBM FlashSystem 5100 Utility NVMe Control Enclosure (2078-UHB)",N/A,N/A,,2078UHB,2020-03-06,120-009,2021-10-09,921-038,N/A,N/A,,,,,W,0,,,03-11-2024
HW,"IBM System Storage (2104-DL1) - Withdrawal notification",N/A,N/A,,2104DL1,1999-10-22,,,,N/A,N/A,2007-12-31,,,,W,0,,,12-13-2023
HW,"IBM System Storage (2104-DU3) - Withdrawal notification",N/A,N/A,,2104DU3,2000-10-13,,,,N/A,N/A,2012-12-31,,,,W,0,,,12-13-2023
HW,"IBM System Storage (2104-TL1) - Withdrawal notification",N/A,N/A,,2104TL1,1999-10-29,,,,N/A,N/A,2007-12-31,,,,W,0,,,12-13-2023
HW,"IBM System Storage (2104-TU3) - Withdrawal notification",N/A,N/A,,2104TU3,2000-10-13,,,,N/A,N/A,2012-12-31,,,,W,0,,,12-13-2023
HW,"SAN Volume Controller (2145-12F)",N/A,N/A,,214512F,2016-06-10,71498,2022-04-12,77494,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"SAN Volume Controller (2145-24F)",N/A,N/A,,214524F,2014-06-06,60020,2022-04-12,77494,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"SAN Volume Controller (2145-92F)",N/A,N/A,,214592F,2016-12-09,71959,2022-04-12,77494,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"SAN Volume Controller (2145-SA2)",N/A,N/A,,2145SA2,2020-04-17,75482,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"SAN Volume Controller (2145-SV1)",N/A,N/A,,2145SV1,2016-09-09,71764,2021-10-12,77180,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"SAN Volume Controller (2145-SV2)",N/A,N/A,,2145SV2,2020-03-06,75482,2022-07-26,77704,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"SAN Volume Controller (2147-12F)",N/A,N/A,,214712F,2016-10-28,71808,2022-04-12,77494,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"SAN Volume Controller (2147-24F)",N/A,N/A,,214724F,2016-10-28,71808,2022-04-12,77494,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"SAN Volume Controller (2147-92F)",N/A,N/A,,214792F,2016-12-09,71959,2022-04-12,77494,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"SAN Volume Controller (2147-SA2)",N/A,N/A,,2147SA2,2020-04-17,AD20-0900,,,N/A,N/A,,,,,W,0,,,12-29-2023
HW,"SAN Volume Controller (2147-SV1)",N/A,N/A,,2147SV1,2016-10-28,216-450,2021-10-12,AD21-0567,N/A,N/A,,,,,W,0,,,12-29-2023
HW,"SAN Volume Controller (2147-SV2)",N/A,N/A,,2147SV2,2020-03-06,AD20-0900,2022-07-26,AD22-0674,N/A,N/A,,,,,W,0,,,12-29-2023
HW,"IBM DS8300 (2421-9B2) - Withdrawal notification",N/A,N/A,,24219B2,2006-10-31,,,,N/A,N/A,2016-03-31,70311,,,W,0,,,12-13-2023
HW,"IBM DS8300 (2422-9B2) - Withdrawal notification",N/A,N/A,,24229B2,2006-10-31,,,,N/A,N/A,2016-03-31,70311,,,W,0,,,12-13-2023
HW,"IBM DS8300 (2424-9B2) - Withdrawal notification",N/A,N/A,,24249B2,2006-10-31,,,,N/A,N/A,2016-03-31,70311,,,W,0,,,12-13-2023
HW,"IBM Storage Networking SAN40B-4 (2498-B40) - Withdrawal notification",N/A,N/A,,2498B40,2008-05-23,,,,N/A,N/A,2018-05-31,71676,,,W,0,,,12-13-2023
HW,"IBM Storage Networking SAN96B-5 (2498-F96)",N/A,N/A,,2498F96,2013-05-24,58193,2023-02-28,78089,N/A,N/A,2027-08-31,78376,,,W,0,,,12-13-2023
HW,"IBM Storage Networking SAN42B-R (2498-R42)",N/A,N/A,,2498R42,2014-12-12,60786,2023-09-12,78508,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM DS8884 (2831-84E)",N/A,N/A,,283184E,2016-12-09,71972,2023-01-10,78020,N/A,N/A,2024-06-30,78083,,,W,0,,,12-13-2023
HW,"IBM DS8886 (2831-85E)",N/A,N/A,,283185E,2016-12-09,71972,2023-01-10,78020,N/A,N/A,2024-06-30,78083,,,W,0,,,12-13-2023
HW,"IBM DS8886 (2831-86E)",N/A,N/A,,283186E,2016-12-09,71972,2023-01-10,78020,N/A,N/A,2024-06-30,78083,,,W,0,,,12-13-2023
HW,"IBM DS8886 (2831-961)",N/A,N/A,,2831961,2017-09-08,04385,,9992,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM DS8884 (2831-98B) - Withdrawal notification",N/A,N/A,,283198B,2015-12-04,70807,2021-11-23,77188,N/A,N/A,2022-12-31,77413,,,W,0,,,12-13-2023
HW,"IBM DS8886 (2831-98E) - Withdrawal notification",N/A,N/A,,283198E,2015-12-04,70807,2021-11-23,77188,N/A,N/A,2022-12-31,77413,,,W,0,,,12-13-2023
HW,"IBM DS8888 (2831-98F) - Withdrawal notification",N/A,N/A,,283198F,2016-06-24,71443,2021-11-23,77188,N/A,N/A,2022-12-31,77413,,,W,0,,,12-13-2023
HW,"DS8000 Legacy Systems (2836-LF8)",N/A,N/A,,2836LF8,2015-12-04,70811,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"DS8000 Legacy Systems (2838-LF8)",N/A,N/A,,2838LF8,2015-12-04,70811,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"DS8000 Legacy Systems (2839-LF8)",N/A,N/A,,2839LF8,2015-12-04,70811,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"Integrated Analytics Systems (3452-DB1) - Withdrawal notification",N/A,N/A,,3452DB1,2017-09-15,71042,,,N/A,N/A,2023-09-30,77703,,,W,0,,,12-13-2023
HW,"Integrated Analytics Systems (3452-DB3)",N/A,N/A,,3452DB3,2018-03-20,73698,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"Integrated Analytics Systems (3452-DB4)",N/A,N/A,,3452DB4,2018-03-20,73698,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"Integrated Analytics Systems (3452-FB1) - Withdrawal notification",N/A,N/A,,3452FB1,2017-09-15,71042,,,N/A,N/A,2023-09-30,77703,,,W,0,,,12-13-2023
HW,"Integrated Analytics Systems (3452-FB3)",N/A,N/A,,3452FB3,2018-03-20,73698,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"Integrated Analytics Systems (3452-FB4)",N/A,N/A,,3452FB4,2018-03-20,73698,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"Integrated Analytics Systems (3452-GB1) - Withdrawal notification",N/A,N/A,,3452GB1,2017-09-15,71042,,,N/A,N/A,2023-09-30,77703,,,W,0,,,12-13-2023
HW,"Integrated Analytics Systems (3452-GB3)",N/A,N/A,,3452GB3,2018-03-20,73698,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"Integrated Analytics Systems (3452-GB4)",N/A,N/A,,3452GB4,2018-03-20,73698,,,N/A,N/A,,,,,W,0,,,12-13-2023
